name,price,categoryName
"Advanced Dumbbell Set",7149,"Sports & Fitness"
"Ergonomic Track Pants",599,"Men Fashion"
"Heavy Duty E-Reader",44649,"Tablets"
"Wireless Mascara",3049,"Makeup"
"Pro Toy Train",3499,"Toys & Games"
"Dual Sofa",5099,"Furniture"
"Portable Steering Wheel Cover",12649,"Automotive"
"Eco Friendly Drill Machine",3399,"Tools & Hardware"
"Compact Badminton Racket",14699,"Outdoor Sports"
"Ergonomic Microwave",25749,"Appliances"
"Ultra Biography",1599,"Books"
"Compact 500 Piece Puzzle",1999,"Puzzles"
"Dual 3D Puzzle 98",899,"Puzzles"
"Lite Polo Shirt",1499,"Men Fashion"
"Eco Friendly Serum",2399,"Skincare"
"Ultra Wok",2999,"Cookware"
"Premium Fantasy Book",699,"Fiction"
"Smart Yoga Block",2899,"Yoga"
"Dual Drill Machine",1099,"Tools & Hardware"
"Classic Superhero Comic",599,"Comics"
"Premium Gaming Laptop",33049,"Laptops"
"Smart Globe",1249,"Educational Toys"
"Heavy Duty Bluetooth Speaker",49749,"Electronics"
"Premium Car Vacuum Cleaner",12299,"Automotive"
"Ergonomic Printed Tee",2099,"Kids Wear"
"Wireless Car Vacuum Cleaner 111",7199,"Automotive"
"Compact Organiser Bag",2049,"Car Accessories"
"Classic Lipstick",4899,"Makeup"
"Premium Eau de Toilette",1399,"Fragrances"
"Professional Business Notebook",112699,"Laptops"
"Ergonomic Air Freshener",1499,"Car Accessories"
"Dual Tyre Inflator",1199,"Car Accessories"
"Wireless Office Chair",11099,"Furniture"
"Ultra Alphabet Blocks",1399,"Educational Toys"
"Fast Superhero Comic",699,"Comics"
"Pro Resistance Band",13899,"Sports & Fitness"
"High Performance Seat Cover",5799,"Automotive"
"Heavy Duty Car Vacuum Cleaner",5799,"Automotive"
"Ergonomic Earbuds",7899,"Electronics"
"Smart Anime Figure",4349,"Action Figures"
"Smart Art Book",1399,"Comics"
"Dual Science Kit",1999,"Educational Toys"
"Portable Meditation Cushion",2599,"Yoga"
"Digital File Folder",1349,"Office Supplies"
"Wireless Pliers",2599,"Tools & Hardware"
"Smart T-Shirt 131",4499,"Clothing"
"High Performance Gaming Laptop",47499,"Laptops"
"Ergonomic Yoga Block",1199,"Yoga"
"Dual Android Tablet",35199,"Tablets"
"Compact Eye Cream",1399,"Skincare"
"Fast Fantasy Book",599,"Fiction"
"Lite Blouse",7899,"Women Fashion"
"High Performance Shampoo",199,"Haircare"
"Fast File Folder",2599,"Office Supplies"
"Eco Friendly Hoodie",549,"Clothing"
"Classic Dumbbell Set",3099,"Sports & Fitness"
"Slim Frock",899,"Kids Wear"
"Slim Non-stick Pan",3999,"Cookware"
"Fast Sticky Notes",1549,"Office Supplies"
"High Performance Body Mist",10699,"Fragrances"
"Ultra Frock",1699,"Kids Wear"
"Pro Bed Frame",52399,"Furniture"
"Wireless Polo Shirt",2599,"Men Fashion"
"High Performance Formal Shoes",5799,"Footwear"
"Slim Room Freshener 150",2549,"Fragrances"
"Dual Gaming Laptop",54399,"Laptops"
"Compact Face Mask",2999,"Skincare"
"Smart Remote Control Car",4799,"Toys & Games"
"Ultra T-Shirt",2699,"Clothing"
"Lite Helmet",899,"Cycling"
"Compact Globe",3799,"Educational Toys"
"Lite Dumbbell Set",5899,"Sports & Fitness"
"Smart Seat Cover",9249,"Automotive"
"Ergonomic Printed Tee 159",2399,"Kids Wear"
"Elite T-Shirt",2499,"Clothing"
"Eco Friendly Iron Box",23499,"Appliances"
"Wireless Romance Novel",549,"Fiction"
"Wireless Pillow Cover",1399,"Bedding"
"Professional Sun Shade",299,"Car Accessories"
"Portable Air Freshener",1299,"Car Accessories"
"Classic Self Help Book",2499,"Books"
"Heavy Duty Pliers",1399,"Tools & Hardware"
"Digital Hair Oil",1799,"Haircare"
"Classic Drill Machine",1799,"Tools & Hardware"
"Professional Room Freshener",2899,"Fragrances"
"Heavy Duty Deodorant",999,"Beauty & Personal Care"
"Premium Play Kitchen",7099,"Toys & Games"
"Digital Joggers",1799,"Kids Wear"
"High Performance Geometric Box",1399,"Stationery"
"Fast Toy Train",799,"Toys & Games"
"Wireless Running Shoes",7299,"Footwear"
"Ergonomic Bed Frame",9099,"Furniture"
"Digital Wok",1049,"Cookware"
"Pro Dinner Set",1499,"Home & Kitchen"
"Ergonomic Mystery Book",599,"Fiction"
"High Performance Measuring Tape",1099,"Tools & Hardware"
"Professional Stapler",2099,"Office Supplies"
"Portable Biography",1999,"Books"
"Portable Catan",1899,"Board Games"
"Slim LED Monitor",27699,"Electronics"
"Heavy Duty Flagship Smartphone",7999,"Smartphones"
"Portable Army Set",799,"Action Figures"
"Slim Sci-Fi Novel",249,"Fiction"
"Lite Workbook",1099,"Academic"
"Lite Webcomic Collection",349,"Comics"
"Dual Dungaree",249,"Kids Wear"
"Dual Kurti",1549,"Women Fashion"
"Portable Earbuds",83499,"Electronics"
"Compact Study Table",27199,"Furniture"
"Elite Running Shoes",3599,"Footwear"
"Fast Fantasy Book 196",599,"Fiction"
"Pro Comforter",6499,"Bedding"
"Wireless Convertible Tablet",38749,"Tablets"
"Wireless Organiser Bag",1149,"Car Accessories"
"Ultra Math Kit",3899,"Educational Toys"
"Digital Superhero Figure",1499,"Action Figures"
"Ergonomic Mystery Book 202",149,"Fiction"
"Premium Science Kit",2999,"Educational Toys"
"Premium Measuring Tape",2599,"Tools & Hardware"
"High Performance Attar",6099,"Fragrances"
"Smart Biography",1099,"Books"
"Digital Jacket",4199,"Clothing"
"Classic Sunscreen",1799,"Beauty & Personal Care"
"Slim Pull-up Bar",46899,"Gym Equipment"
"Compact Organiser Bag 210",1499,"Car Accessories"
"Premium Sci-Fi Novel",549,"Fiction"
"Digital Water Bottle Cage",599,"Cycling"
"Slim Resistance Band",4399,"Sports & Fitness"
"Advanced Meditation Cushion",2699,"Yoga"
"Premium Kadai",499,"Cookware"
"Ultra Dictionary",1149,"Books"
"Ultra Storage Box",2299,"Home & Kitchen"
"Fast Lipstick",2099,"Makeup"
"Wireless Seat Cover",1849,"Automotive"
"Dual Formal Shirt",1999,"Clothing"
"Premium Tawa",4849,"Cookware"
"Slim Hair Oil",399,"Haircare"
"Dual Ballpoint Pen",799,"Stationery"
"Compact Ballpoint Pen",1099,"Stationery"
"Premium Tawa 225",4049,"Cookware"
"High Performance Mystery Book",799,"Fiction"
"Premium Car Charger",3799,"Automotive"
"Classic Barbell",53599,"Gym Equipment"
"Classic Novel",1699,"Books"
"Ultra Hair Mask",2299,"Haircare"
"Eco Friendly Foam Roller",1299,"Yoga"
"Eco Friendly Romance Novel",499,"Fiction"
"Advanced Dash Camera",14399,"Automotive"
"Smart Camera Phone",23699,"Smartphones"
"Lite Power Bank",3299,"Accessories"
"Elite Dumbbell Set",6499,"Sports & Fitness"
"Lite Kurti",6899,"Women Fashion"
"Pro Anime Figure",3599,"Action Figures"
"Ultra Dinner Set",4399,"Home & Kitchen"
"Compact 5G Phone",119199,"Smartphones"
"Advanced Weight Bench",53299,"Gym Equipment"
"Professional Pressure Cooker",3499,"Cookware"
"Classic Dino Figure",2199,"Action Figures"
"Pro Car Charger",14099,"Automotive"
"Ultra Thriller Novel",299,"Fiction"
"Digital Ab Roller",3999,"Sports & Fitness"
"Eco Friendly Self Help Book",499,"Books"
"Fast Dash Camera",13499,"Automotive"
"Fast T-Shirt",1849,"Clothing"
"Heavy Duty Barbell",11499,"Gym Equipment"
"Advanced File Folder",2299,"Office Supplies"
"Dual Eyeshadow Palette",2599,"Makeup"
"Advanced School Uniform",1199,"Kids Wear"
"High Performance Workbook",2399,"Academic"
"Wireless Android Phone",100199,"Smartphones"
"Advanced 5G Phone",84599,"Smartphones"
"Heavy Duty Running Shoes",4099,"Footwear"
"Digital Hoodie",3099,"Clothing"
"Wireless Dash Camera",7999,"Automotive"
"Classic Toy Train",4699,"Toys & Games"
"High Performance Formal Shirt",1549,"Clothing"
"Fast Graphic Novel",799,"Comics"
"Wireless Bookshelf",23299,"Furniture"
"Fast Doll House",2149,"Toys & Games"
"Classic Card Game",2499,"Board Games"
"Smart Toy Train",2199,"Toys & Games"
"Wireless Cricket Bat",6949,"Outdoor Sports"
"Eco Friendly Sci-Fi Novel",299,"Fiction"
"Dual Yoga Block",749,"Yoga"
"Pro Whiteboard",2799,"Office Supplies"
"Pro Art Book",699,"Comics"
"Ultra Resistance Band",6199,"Sports & Fitness"
"Heavy Duty Barbell 273",61899,"Gym Equipment"
"Advanced Hair Mask",1099,"Haircare"
"Classic Drill Machine 275",5099,"Tools & Hardware"
"High Performance Weight Bench",42999,"Gym Equipment"
"High Performance Mystery Book 277",649,"Fiction"
"Compact Stapler",1899,"Office Supplies"
"Fast Jacket",4599,"Clothing"
"Eco Friendly Water Jug",3799,"Home & Kitchen"
"Digital Reference Guide",1899,"Academic"
"Digital Bicycle Light",1699,"Cycling"
"Slim Yoga Block 283",2499,"Yoga"
"Heavy Duty Face Wash",299,"Beauty & Personal Care"
"Portable Attar",10199,"Fragrances"
"Portable Pliers",7199,"Tools & Hardware"
"Ergonomic School Uniform",699,"Kids Wear"
"Elite Mattress Protector",1299,"Bedding"
"Lite Business Notebook",105499,"Laptops"
"Slim Business Notebook",36399,"Laptops"
"Elite Sandals",6199,"Footwear"
"Heavy Duty Bed Sheet",899,"Bedding"
"Digital Polo Shirt",2549,"Men Fashion"
"Pro Play Kitchen",1949,"Toys & Games"
"Portable Thriller Novel",949,"Fiction"
"Lite Reference Guide",2799,"Academic"
"Wireless Camera Phone",8099,"Smartphones"
"Eco Friendly E-Reader",62899,"Tablets"
"Digital Study Table",4599,"Furniture"
"Elite 1000 Piece Puzzle",699,"Puzzles"
"Eco Friendly Running Shoes",8999,"Footwear"
"Ergonomic Camera Phone 302",118699,"Smartphones"
"Compact Chinos",1699,"Men Fashion"
"Pro Wooden Puzzle",1349,"Puzzles"
"Slim Measuring Tape",7399,"Tools & Hardware"
"Pro Bookshelf",29299,"Furniture"
"Portable Smart Watch",51799,"Electronics"
"Ergonomic Football",1899,"Outdoor Sports"
"Slim Alphabet Blocks",799,"Educational Toys"
"Portable Travel Guide",699,"Non-Fiction"
"Professional Toy Train",2099,"Toys & Games"
"Pro Storage Box",999,"Home & Kitchen"
"High Performance Globe",399,"Educational Toys"
"Advanced Badminton Racket",6599,"Outdoor Sports"
"Eco Friendly Moisturiser",349,"Beauty & Personal Care"
"Fast Denim Jeans",4099,"Clothing"
"Premium Dungaree",2299,"Kids Wear"
"Lite Biography",499,"Books"
"Advanced Scrabble",2199,"Board Games"
"Eco Friendly Workbook",399,"Academic"
"Classic Mixer Grinder",10299,"Appliances"
"Premium Art Book",1399,"Comics"
"Lite Toner",4449,"Skincare"
"Portable Drill Machine",399,"Tools & Hardware"
"Compact Foam Roller",2749,"Yoga"
"Ergonomic Dress",6999,"Women Fashion"
"Portable Yoga Mat",3499,"Sports & Fitness"
"Compact Scrabble",999,"Board Games"
"Slim Study Table",23899,"Furniture"
"Wireless Football",11399,"Outdoor Sports"
"Heavy Duty Manga Volume",1099,"Comics"
"Dual Office Chair",32199,"Furniture"
"Ultra History Book",699,"Non-Fiction"
"Dual Flagship Smartphone",63099,"Smartphones"
"Advanced Cookbook",2299,"Books"
"Portable Bed Sheet",4299,"Bedding"
"High Performance Car Charger",6999,"Automotive"
"Eco Friendly Sunscreen",2249,"Beauty & Personal Care"
"Professional Dungaree 339",1599,"Kids Wear"
"Pro Storage Box 340",2699,"Home & Kitchen"
"Advanced Resistance Band",5799,"Sports & Fitness"
"Ergonomic 500 Piece Puzzle",999,"Puzzles"
"Slim Microwave",39599,"Appliances"
"Eco Friendly Building Blocks",1099,"Toys & Games"
"Smart Kurti",1699,"Women Fashion"
"High Performance Seat Cover 346",2899,"Automotive"
"Pro Robot Toy",1849,"Action Figures"
"Compact Formal Shoes",6049,"Footwear"
"Professional Doll House",4149,"Toys & Games"
"Fast Blazer",5699,"Men Fashion"
"Elite Bookshelf",3999,"Furniture"
"Pro Non-stick Pan",5549,"Cookware"
"Premium Play Kitchen 353",4449,"Toys & Games"
"High Performance Sneakers",2199,"Footwear"
"Ultra Alphabet Blocks 355",2299,"Educational Toys"
"Classic Jacket",3599,"Clothing"
"Compact Weight Bench",20199,"Gym Equipment"
"Heavy Duty Toy Train 358",1349,"Toys & Games"
"Compact Robot Toy",4099,"Action Figures"
"Smart Eyeshadow Palette",2599,"Makeup"
"Lite Charging Cable",2499,"Accessories"
"Elite Steering Wheel Cover",399,"Automotive"
"Wireless Study Table",71999,"Furniture"
"High Performance Foam Roller",1599,"Yoga"
"Dual Body Mist",5999,"Fragrances"
"Ergonomic Art Book",1099,"Comics"
"Premium Blouse",7899,"Women Fashion"
"Heavy Duty Charging Cable",2849,"Accessories"
"Portable Hammer",4199,"Tools & Hardware"
"Eco Friendly Puzzle Map",2099,"Educational Toys"
"Professional Dress",3049,"Women Fashion"
"Digital Yoga Mat",13449,"Sports & Fitness"
"Advanced Ab Roller",2699,"Sports & Fitness"
"Ergonomic Non-stick Pan",2999,"Cookware"
"Pro Perfume",8299,"Fragrances"
"Smart Non-stick Pan",1799,"Cookware"
"Ergonomic Monopoly",599,"Board Games"
"Slim Polo Shirt",6099,"Men Fashion"
"High Performance Yoga Mat",6949,"Sports & Fitness"
"Digital Yoga Mat 380",10299,"Sports & Fitness"
"Advanced Thriller Novel",799,"Fiction"
"Ultra Dictionary 382",2399,"Books"
"Smart Leggings 383",3749,"Women Fashion"
"Heavy Duty Denim Jeans",4899,"Clothing"
"Slim Comforter",7199,"Bedding"
"High Performance 2-in-1 Laptop",124699,"Laptops"
"Elite Iron Box",27599,"Appliances"
"Professional Pull-up Bar",11249,"Gym Equipment"
"Professional Meditation Cushion",1999,"Yoga"
"Ergonomic Jacket",4599,"Clothing"
"Dual Formal Shoes",6849,"Footwear"
"Heavy Duty Cleanser 392",1899,"Skincare"
"Eco Friendly Toy Train",5999,"Toys & Games"
"Eco Friendly Meditation Cushion 394",2599,"Yoga"
"Elite Whiteboard",749,"Office Supplies"
"Portable USB Hub",79099,"Electronics"
"Portable Sneakers",5799,"Footwear"
"Eco Friendly Study Table",41299,"Furniture"
"Classic Kadai",4149,"Cookware"
"Ergonomic Iron Box",2399,"Appliances"
"Wireless 3D Puzzle",599,"Puzzles"
"Elite Art Book",1299,"Comics"
"Digital Budget Phone",69399,"Smartphones"
"Ergonomic Kadai",1949,"Cookware"
"Professional Attar",5849,"Fragrances"
"Smart Cycling Gloves",2999,"Cycling"
"Lite Face Wash",2699,"Beauty & Personal Care"
"Eco Friendly Sleeping Bag",16349,"Outdoor Sports"
"Classic Barbell 409",30149,"Gym Equipment"
"Ergonomic Drawing Tablet",57549,"Tablets"
"Slim Ultrabook",60549,"Laptops"
"Eco Friendly Cutting Board",1599,"Home & Kitchen"
"Eco Friendly Webcomic Collection",799,"Comics"
"High Performance Study Table",5999,"Furniture"
"Eco Friendly Thriller Novel",999,"Fiction"
"Portable Geometric Box",899,"Stationery"
"Pro Yoga Mat",5499,"Sports & Fitness"
"Ergonomic Android Phone",8799,"Smartphones"
"Slim Mattress Protector",4999,"Bedding"
"Premium Sofa",46799,"Furniture"
"Professional Android Tablet",63499,"Tablets"
"Ergonomic Room Freshener",11299,"Fragrances"
"Ergonomic Measuring Tape",5199,"Tools & Hardware"
"Professional Quilt",6599,"Bedding"
"Eco Friendly Self Help Book 425",1949,"Books"
"Fast Hair Mask",949,"Haircare"
"Eco Friendly Dress",5249,"Women Fashion"
"Professional Android Tablet 428",40199,"Tablets"
"Dual School Uniform",1799,"Kids Wear"
"Ergonomic E-Reader",44799,"Tablets"
"Portable Office Chair",26499,"Furniture"
"Fast Dry Shampoo",699,"Haircare"
"Professional Screen Protector",1099,"Accessories"
"Pro Seat Cover",8249,"Automotive"
"Eco Friendly Geometric Box",899,"Stationery"
"Lite Dinner Set",1099,"Home & Kitchen"
"Smart Thriller Novel",999,"Fiction"
"High Performance Card Game",1149,"Board Games"
"Fast Android Phone",21799,"Smartphones"
"Heavy Duty USB Hub",20799,"Electronics"
"Portable Graphic Novel",1399,"Comics"
"Advanced Iron Box",20249,"Appliances"
"Ultra Play Kitchen",2099,"Toys & Games"
"Compact Science Book",499,"Non-Fiction"
"Wireless Dumbbell Set",10399,"Sports & Fitness"
"Wireless Barbell",12999,"Gym Equipment"
"Compact 3D Puzzle",1499,"Puzzles"
"Heavy Duty Wok 448",4799,"Cookware"
"High Performance Air Fryer",6599,"Appliances"
"Digital Lipstick",4999,"Makeup"
"Heavy Duty Iron Box",26199,"Appliances"
"Digital Comforter",3599,"Bedding"
"Compact Eye Cream 453",3199,"Skincare"
"Portable Anime Figure",599,"Action Figures"
"Lite Flip Flops",4199,"Footwear"
"Lite Wooden Puzzle",599,"Puzzles"
"Advanced Face Mask",1999,"Skincare"
"Slim Running Shoes",8599,"Footwear"
"Fast Gaming Laptop",56599,"Laptops"
"Professional Flagship Smartphone",106499,"Smartphones"
"Portable Phone Case",1799,"Accessories"
"High Performance Iron Box",38199,"Appliances"
"Ergonomic Pillow Cover",6199,"Bedding"
"Ultra Eyeshadow Palette",899,"Makeup"
"Wireless Kurta",6599,"Men Fashion"
"Advanced Comforter",7749,"Bedding"
"Advanced Bookshelf",20099,"Furniture"
"Advanced Saree",4699,"Women Fashion"
"Wireless Cookbook",2099,"Books"
"Lite Body Mist",10799,"Fragrances"
"Fast Convertible Tablet",32799,"Tablets"
"Pro Car Vacuum Cleaner",10199,"Automotive"
"High Performance Superhero Comic",799,"Comics"
"Classic Sticky Notes",599,"Office Supplies"
"Lite Dress",7949,"Women Fashion"
"Ergonomic Charging Cable",349,"Accessories"
"Smart Sunscreen",649,"Beauty & Personal Care"
"Lite Drawing Tablet",38599,"Tablets"
"Fast E-Reader",66049,"Tablets"
"Advanced Printed Tee",1699,"Kids Wear"
"Compact E-Reader",24499,"Tablets"
"Fast Kettlebell",54549,"Gym Equipment"
"Slim USB Hub",35299,"Electronics"
"Elite Puzzle Map",649,"Educational Toys"
"High Performance Tawa",4099,"Cookware"
"Digital Kettlebell",45149,"Gym Equipment"
"Heavy Duty Bicycle Light",2699,"Cycling"
"Ergonomic Drawing Tablet 488",40799,"Tablets"
"Eco Friendly Pillow Cover",3799,"Bedding"
"Professional Business Notebook 490",30099,"Laptops"
"Compact Science Book 491",1399,"Non-Fiction"
"Portable Foam Roller",2549,"Yoga"
"Pro Eyeshadow Palette",3999,"Makeup"
"Professional Barbell",51699,"Gym Equipment"
"Classic Steering Wheel Cover",4849,"Automotive"
"Portable Mascara",799,"Makeup"
"Advanced Deodorant",2699,"Beauty & Personal Care"
"Wireless Sci-Fi Novel",599,"Fiction"
"Professional Sneakers",8249,"Footwear"
"Portable Kids Tablet",71499,"Tablets"
"Wireless Travel Guide",1099,"Non-Fiction"
"Wireless Dumbbell Set 502",1949,"Sports & Fitness"
"Slim Steering Wheel Cover",12049,"Automotive"
"Heavy Duty Pillow Cover",6449,"Bedding"
"Wireless Foam Puzzle",1799,"Puzzles"
"Wireless Pressure Cooker",5849,"Cookware"
"Premium Monopoly",2799,"Board Games"
"Ergonomic Science Kit 508",2999,"Educational Toys"
"Advanced USB Hub",31099,"Electronics"
"Portable Football",11449,"Outdoor Sports"
"Fast Bed Frame",18999,"Furniture"
"Smart Card Game",999,"Board Games"
"Professional Hammer",7899,"Tools & Hardware"
"Pro Sun Shade",2699,"Car Accessories"
"Professional Card Game",1799,"Board Games"
"Ultra Manga Volume",1399,"Comics"
"Smart Seat Cover 517",6199,"Automotive"
"Pro Business Notebook",76599,"Laptops"
"Heavy Duty Pull-up Bar",60399,"Gym Equipment"
"Premium Android Tablet",39899,"Tablets"
"Professional Shampoo",1599,"Haircare"
"Classic Sci-Fi Novel",999,"Fiction"
"Elite Cycling Gloves",3499,"Cycling"
"Classic Mystery Book",749,"Fiction"
"Ultra Math Kit 525",3399,"Educational Toys"
"Smart Knife Set",4399,"Home & Kitchen"
"Premium Shampoo",1249,"Haircare"
"Heavy Duty Water Jug",3849,"Home & Kitchen"
"High Performance Drill Machine",4199,"Tools & Hardware"
"Portable Power Bank",2799,"Accessories"
"Classic Toy Train 531",5899,"Toys & Games"
"Portable Chinos",2099,"Men Fashion"
"Professional Kettlebell",26299,"Gym Equipment"
"Portable Highlighter Set",699,"Stationery"
"Ultra LED Monitor",31299,"Electronics"
"Elite Sofa",7499,"Furniture"
"Ergonomic 500 Piece Puzzle 537",999,"Puzzles"
"Heavy Duty Android Tablet",68699,"Tablets"
"Dual Barbell",28799,"Gym Equipment"
"Compact Camera Phone",9299,"Smartphones"
"Pro Cleanser",4799,"Skincare"
"Digital Pressure Cooker",5999,"Cookware"
"Ergonomic Kurti",5199,"Women Fashion"
"Elite Budget Phone",86999,"Smartphones"
"Elite Kadai",2399,"Cookware"
"Advanced Novel",2299,"Books"
"Heavy Duty Power Bank",349,"Accessories"
"Elite Army Set",4499,"Action Figures"
"Wireless Travel Guide 549",999,"Non-Fiction"
"Slim Resistance Band 550",13699,"Sports & Fitness"
"Heavy Duty Dino Figure",1099,"Action Figures"
"Smart Flagship Smartphone",94799,"Smartphones"
"Slim Tent",13749,"Outdoor Sports"
"Slim Bike Lock",4399,"Cycling"
"Advanced Travel Guide",1049,"Non-Fiction"
"Premium Car Polish",949,"Car Accessories"
"Heavy Duty Foam Puzzle",1699,"Puzzles"
"Wireless Sneakers",3599,"Footwear"
"Premium Sofa 559",13699,"Furniture"
"Advanced Attar",6299,"Fragrances"
"Pro Superhero Figure",1899,"Action Figures"
"Portable Monopoly",2299,"Board Games"
"Premium Ab Roller",10299,"Sports & Fitness"
"Portable Budget Phone",47449,"Smartphones"
"Digital Highlighter Set",1199,"Stationery"
"Premium Air Fryer 566",14799,"Appliances"
"Eco Friendly Car Charger",8149,"Automotive"
"Dual Attar",11899,"Fragrances"
"Premium Cutting Board",2399,"Home & Kitchen"
"Fast Globe",649,"Educational Toys"
"Slim Polo Shirt 571",2899,"Men Fashion"
"Premium Dumbbell Set",11599,"Sports & Fitness"
"Classic Car Vacuum Cleaner",7699,"Automotive"
"Heavy Duty Textbook",549,"Academic"
"Portable Flip Flops",2899,"Footwear"
"Ultra Sketch Pens",1499,"Stationery"
"Premium Quilt",7699,"Bedding"
"Fast Whiteboard",2199,"Office Supplies"
"Classic Sneakers",8449,"Footwear"
"Wireless Army Set",2149,"Action Figures"
"Slim Romance Novel",849,"Fiction"
"Portable Iron Box",39899,"Appliances"
"Compact Body Lotion",1199,"Beauty & Personal Care"
"High Performance Ceiling Fan",8299,"Appliances"
"Compact Jump Rope",8599,"Sports & Fitness"
"Portable Shampoo",699,"Haircare"
"Pro Android Tablet",33299,"Tablets"
"Fast Highlighter Set",199,"Stationery"
"Premium Microwave",8699,"Appliances"
"Classic Charging Cable",2299,"Accessories"
"Ultra Iron Box",29499,"Appliances"
"Pro Sandals",4599,"Footwear"
"Heavy Duty Bed Sheet 593",3699,"Bedding"
"Portable Jacket",599,"Clothing"
"Wireless Sun Shade",1699,"Car Accessories"
"Pro Resistance Band 596",3299,"Sports & Fitness"
"Premium Measuring Tape 597",699,"Tools & Hardware"
"Lite Chromebook",77199,"Laptops"
"Digital Budget Phone 599",118599,"Smartphones"
"Wireless Serum",3199,"Skincare"
"Ergonomic Bike Lock",1049,"Cycling"
"Classic Ceiling Fan",29999,"Appliances"
"Elite Badminton Racket",12299,"Outdoor Sports"
"Professional Car Polish",1899,"Car Accessories"
"Heavy Duty Track Pants",3999,"Men Fashion"
"Advanced Math Kit",3699,"Educational Toys"
"Heavy Duty Drawing Tablet",48199,"Tablets"
"Lite Superhero Comic",399,"Comics"
"Digital Badminton Racket",17099,"Outdoor Sports"
"Professional Helmet",3799,"Cycling"
"Classic Air Freshener",2399,"Car Accessories"
"Professional Knife Set",1949,"Home & Kitchen"
"Advanced Novel 613",799,"Books"
"Professional Hoodie",4899,"Clothing"
"Ultra Organiser Bag",2799,"Car Accessories"
